participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_163233,1,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,7292.74
20260403_163233,2,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,7773.21
20260403_163233,3,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,2291.92
20260403_163233,4,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,1284.92
20260403_163233,5,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2837.6
20260403_163233,6,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1841.1
20260403_163233,7,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,4502.97
20260403_163233,8,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3093.74
20260403_163233,9,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1437.1
20260403_163233,10,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,1388.53
20260403_163233,11,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,3773.13
20260403_163233,12,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,2491.89
20260403_163233,13,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1747.77
20260403_163233,14,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1047.03
20260403_163233,15,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1294.79
20260403_163233,16,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,2511.64
20260403_163233,17,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2078.84
20260403_163233,18,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,2270.95
20260403_163233,19,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2042.13
20260403_163233,20,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,2687.51
20260403_163233,21,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1270.15
20260403_163233,22,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1670.48
20260403_163233,23,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1907.55
20260403_163233,24,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2380.48
20260403_163233,25,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1258.6
20260403_163233,26,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1425.64
20260403_163233,27,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1128.12
20260403_163233,28,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,911.48
20260403_163233,29,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1313.99
20260403_163233,30,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2099.03
20260403_163233,31,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1865.29
20260403_163233,32,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,1416.63
