participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_190134,1,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,454.11
20260403_190134,2,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2501.63
20260403_190134,3,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2177.8
20260403_190134,4,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3006.25
20260403_190134,5,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2996.29
20260403_190134,6,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1389.51
20260403_190134,7,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,3614.38
20260403_190134,8,main,270,same,10cube_A,10cube_A,10cube_A,different,same,0,2642.2
20260403_190134,9,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,1720.08
20260403_190134,10,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2527.65
20260403_190134,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2695.26
20260403_190134,12,main,90,same,10cube_A,10cube_A,10cube_A,different,same,0,1735.45
20260403_190134,13,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,3004.16
20260403_190134,14,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,2640.04
20260403_190134,15,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3745.2
20260403_190134,16,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1848.96
20260403_190134,17,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1701.09
20260403_190134,18,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2557.55
20260403_190134,19,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2513.87
20260403_190134,20,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,2305.85
20260403_190134,21,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2366.88
20260403_190134,22,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,1502.07
20260403_190134,23,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2084.28
20260403_190134,24,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2461.27
20260403_190134,25,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,2703.52
20260403_190134,26,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,3731.82
20260403_190134,27,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2194.03
20260403_190134,28,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,3378.21
20260403_190134,29,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1046.62
20260403_190134,30,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,972.45
20260403_190134,31,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1602.45
20260403_190134,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1821.66
