participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_174426,1,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,979.74
20260403_174426,2,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2087.98
20260403_174426,3,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,779.69
20260403_174426,4,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,796.81
20260403_174426,5,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1019.86
20260403_174426,6,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,2185.22
20260403_174426,7,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,3565.04
20260403_174426,8,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,982.3
20260403_174426,9,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,7325.13
20260403_174426,10,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1170.29
20260403_174426,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,728.61
20260403_174426,12,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1084.16
20260403_174426,13,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,4925.52
20260403_174426,14,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,6947.24
20260403_174426,15,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2035.34
20260403_174426,16,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,7518.71
20260403_174426,17,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,1077.09
20260403_174426,18,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1252.14
20260403_174426,19,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,4298.91
20260403_174426,20,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,2000.34
20260403_174426,21,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,777.34
20260403_174426,22,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,4569.76
20260403_174426,23,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,679.44
20260403_174426,24,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,916.21
20260403_174426,25,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1014.77
20260403_174426,26,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,762.34
20260403_174426,27,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,1540.84
20260403_174426,28,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,10036.33
20260403_174426,29,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,832.33
20260403_174426,30,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,982.31
20260403_174426,31,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,791.71
20260403_174426,32,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1047.96
