participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_194901,1,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,32.79
20260403_194901,2,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,99.91
20260403_194901,3,main,270,same,10cube_A,10cube_A,10cube_A,different,same,0,133.27
20260403_194901,4,main,0,same,8cube_B,8cube_B,8cube_B,different,same,0,65.06
20260403_194901,5,main,180,same,8cube_B,8cube_B,8cube_B,different,same,0,149.55
20260403_194901,6,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,165.58
20260403_194901,7,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,966.78
20260403_194901,8,main,270,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,166.88
20260403_194901,9,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,82.89
20260403_194901,10,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,9382.06
20260403_194901,11,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,119.01
20260403_194901,12,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,31.43
20260403_194901,13,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,134.74
20260403_194901,14,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,16.48
20260403_194901,15,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,16.75
20260403_194901,16,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,151.07
20260403_194901,17,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,132.58
20260403_194901,18,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,16.41
20260403_194901,19,main,0,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,16.86
20260403_194901,20,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,86.39
20260403_194901,21,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,50.43
20260403_194901,22,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,16.68
20260403_194901,23,main,0,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,49.91
20260403_194901,24,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,48.59
20260403_194901,25,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,different,same,0,16.54
20260403_194901,26,main,180,same,10cube_A,10cube_A,10cube_A,different,same,0,83.27
20260403_194901,27,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,197.04
20260403_194901,28,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,134.75
20260403_194901,29,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,32.77
20260403_194901,30,main,180,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,215.45
20260403_194901,31,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,15.77
20260403_194901,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,100.45
