participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_185512,1,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1732.46
20260403_185512,2,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1910.48
20260403_185512,3,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,2319.73
20260403_185512,4,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2418.72
20260403_185512,5,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1552.2
20260403_185512,6,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1376.8
20260403_185512,7,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,3280.17
20260403_185512,8,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,2232.69
20260403_185512,9,main,270,same,8cube_B,8cube_B,8cube_B,different,same,0,2052.49
20260403_185512,10,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2043.54
20260403_185512,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1388.12
20260403_185512,12,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,1081.32
20260403_185512,13,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1107.48
20260403_185512,14,main,180,same,8cube_B,8cube_B,8cube_B,different,same,0,1212.31
20260403_185512,15,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2159.52
20260403_185512,16,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1171.83
20260403_185512,17,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,928.58
20260403_185512,18,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1648.95
20260403_185512,19,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1942.09
20260403_185512,20,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,1724.75
20260403_185512,21,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1400.96
20260403_185512,22,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,801.05
20260403_185512,23,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1272.98
20260403_185512,24,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2269.7
20260403_185512,25,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,1214.51
20260403_185512,26,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2562.4
20260403_185512,27,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1457.48
20260403_185512,28,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2871.18
20260403_185512,29,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1253.32
20260403_185512,30,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2257.16
20260403_185512,31,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,874.1
20260403_185512,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,876.73
