participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_195132,1,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,66.87
20260403_195132,2,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,67.97
20260403_195132,3,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,150.34
20260403_195132,4,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,218.43
20260403_195132,5,main,270,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,150.63
20260403_195132,6,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,16.65
20260403_195132,7,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,82.59
20260403_195132,8,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,569.43
20260403_195132,9,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,118.02
20260403_195132,10,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,151.6
20260403_195132,11,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,151.19
20260403_195132,12,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,66.7
20260403_195132,13,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2384.21
20260403_195132,14,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,85.36
20260403_195132,15,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,184.08
20260403_195132,16,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1836.64
20260403_195132,17,main,90,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,203.12
20260403_195132,18,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,517.56
20260403_195132,19,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,101.22
20260403_195132,20,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,33.43
20260403_195132,21,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,204.35
20260403_195132,22,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,205.06
20260403_195132,23,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,302.15
20260403_195132,24,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,116.72
20260403_195132,25,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,67.12
20260403_195132,26,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,150.36
20260403_195132,27,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3139.31
20260403_195132,28,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,68.06
20260403_195132,29,main,0,same,8cube_B,8cube_B,8cube_B,different,same,0,115.51
20260403_195132,30,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,184.01
20260403_195132,31,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,166.45
20260403_195132,32,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,151.86
