participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_160318,1,main,90,different,10cube_A,10cube_B,10cube_A,different,different,1,1033.69
20260403_160318,2,main,270,different,8cube_D,8cube_C,8cube_D,different,different,1,1413.92
20260403_160318,3,main,0,same,8cube_D,8cube_D,8cube_D,same,same,1,1129.16
20260403_160318,4,main,270,same,10cube_B,10cube_B,10cube_B,different,same,0,878.13
20260403_160318,5,main,0,different,8cube_C,8cube_D,8cube_C,different,different,1,1536.37
20260403_160318,6,main,180,same,10cube_A,10cube_A,10cube_A,different,same,0,876.21
20260403_160318,7,main,270,same,10cube_A,10cube_A,10cube_A,different,same,0,2166.03
20260403_160318,8,main,180,different,8cube_D,8cube_C,8cube_D,different,different,1,5168.26
20260403_160318,9,main,180,different,10cube_A,10cube_B,10cube_A,different,different,1,1505.21
20260403_160318,10,main,270,different,8cube_C,8cube_D,8cube_C,different,different,1,1417.78
20260403_160318,11,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,1281.31
20260403_160318,12,main,270,different,10cube_B,10cube_A,10cube_B,different,different,1,608.56
20260403_160318,13,main,180,same,8cube_C,8cube_C,8cube_C,different,same,0,1167.0
20260403_160318,14,main,270,same,8cube_C,8cube_C,8cube_C,different,same,0,1595.41
20260403_160318,15,main,180,different,10cube_B,10cube_A,10cube_B,different,different,1,2416.46
20260403_160318,16,main,270,different,10cube_A,10cube_B,10cube_A,different,different,1,908.43
20260403_160318,17,main,0,same,8cube_C,8cube_C,8cube_C,same,same,1,6804.09
20260403_160318,18,main,180,different,8cube_C,8cube_D,8cube_C,different,different,1,2246.78
20260403_160318,19,main,90,same,8cube_C,8cube_C,8cube_C,different,same,0,8685.97
20260403_160318,20,main,90,different,8cube_D,8cube_C,8cube_D,different,different,1,2416.28
20260403_160318,21,main,0,different,10cube_A,10cube_B,10cube_A,different,different,1,4461.51
20260403_160318,22,main,90,same,10cube_A,10cube_A,10cube_A,different,same,0,2503.12
20260403_160318,23,main,0,different,10cube_B,10cube_A,10cube_B,different,different,1,896.8
20260403_160318,24,main,90,same,10cube_B,10cube_B,10cube_B,different,same,0,711.96
20260403_160318,25,main,180,same,8cube_D,8cube_D,8cube_D,different,same,0,740.32
20260403_160318,26,main,180,same,10cube_B,10cube_B,10cube_B,different,same,0,677.04
20260403_160318,27,main,90,different,10cube_B,10cube_A,10cube_B,different,different,1,930.45
20260403_160318,28,main,0,different,8cube_D,8cube_C,8cube_D,different,different,1,1185.0
20260403_160318,29,main,90,same,8cube_D,8cube_D,8cube_D,different,same,0,2309.21
20260403_160318,30,main,90,different,8cube_C,8cube_D,8cube_C,different,different,1,7909.14
20260403_160318,31,main,0,same,10cube_B,10cube_B,10cube_B,same,same,1,1011.7
20260403_160318,32,main,270,same,8cube_D,8cube_D,8cube_D,different,same,0,1197.18
