participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_162851,1,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1013.02
20260403_162851,2,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1600.97
20260403_162851,3,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,894.48
20260403_162851,4,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1252.12
20260403_162851,5,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,2097.17
20260403_162851,6,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1210.18
20260403_162851,7,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,1947.21
20260403_162851,8,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1197.77
20260403_162851,9,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,1486.84
20260403_162851,10,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1512.36
20260403_162851,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2278.56
20260403_162851,12,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1452.63
20260403_162851,13,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1175.68
20260403_162851,14,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1194.56
20260403_162851,15,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,946.0
20260403_162851,16,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,995.43
20260403_162851,17,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1617.04
20260403_162851,18,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,1954.84
20260403_162851,19,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1430.84
20260403_162851,20,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1489.17
20260403_162851,21,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1056.99
20260403_162851,22,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1818.08
20260403_162851,23,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,1148.35
20260403_162851,24,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1077.18
20260403_162851,25,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,914.74
20260403_162851,26,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,989.54
20260403_162851,27,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,942.33
20260403_162851,28,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,806.62
20260403_162851,29,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1421.18
20260403_162851,30,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1170.27
20260403_162851,31,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,760.06
20260403_162851,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1042.58
