participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_194633,1,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,32.8
20260403_194633,2,main,180,same,8cube_B,8cube_B,8cube_B,different,same,0,99.41
20260403_194633,3,main,0,same,8cube_B,8cube_B,8cube_B,different,same,0,216.91
20260403_194633,4,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,115.94
20260403_194633,5,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,117.06
20260403_194633,6,main,180,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,186.67
20260403_194633,7,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,49.29
20260403_194633,8,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,134.95
20260403_194633,9,main,0,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,169.22
20260403_194633,10,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,50.23
20260403_194633,11,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,different,same,0,203.79
20260403_194633,12,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,150.23
20260403_194633,13,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,101.22
20260403_194633,14,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,134.84
20260403_194633,15,main,0,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,198.1
20260403_194633,16,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,115.23
20260403_194633,17,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,163.37
20260403_194633,18,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,48.02
20260403_194633,19,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,162.4
20260403_194633,20,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,67.38
20260403_194633,21,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,194.0
20260403_194633,22,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2759.54
20260403_194633,23,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,181.64
20260403_194633,24,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3328.76
20260403_194633,25,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,149.91
20260403_194633,26,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,163.35
20260403_194633,27,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,different,same,0,16.19
20260403_194633,28,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,4903.15
20260403_194633,29,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,148.16
20260403_194633,30,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,16.12
20260403_194633,31,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,151.56
20260403_194633,32,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,32.65
