participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_195417,1,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,64.22
20260403_195417,2,main,180,same,10cube_A,10cube_A,10cube_A,different,same,0,165.98
20260403_195417,3,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,151.99
20260403_195417,4,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,33.51
20260403_195417,5,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,33.87
20260403_195417,6,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,67.78
20260403_195417,7,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,84.22
20260403_195417,8,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,50.69
20260403_195417,9,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,183.06
20260403_195417,10,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,48.95
20260403_195417,11,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,133.26
20260403_195417,12,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,116.21
20260403_195417,13,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,49.61
20260403_195417,14,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,744.89
20260403_195417,15,main,180,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,15.68
20260403_195417,16,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,113.07
20260403_195417,17,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,66.31
20260403_195417,18,main,90,same,8cube_B,8cube_B,8cube_B,different,same,0,16.24
20260403_195417,19,main,90,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,115.24
20260403_195417,20,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,32.78
20260403_195417,21,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,1022.1
20260403_195417,22,main,0,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,167.76
20260403_195417,23,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,16.51
20260403_195417,24,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,67.75
20260403_195417,25,main,0,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,145.89
20260403_195417,26,main,270,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,100.34
20260403_195417,27,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,169.41
20260403_195417,28,main,0,same,10cube_A,10cube_A,10cube_A,different,same,0,85.76
20260403_195417,29,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,148.64
20260403_195417,30,main,90,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,68.31
20260403_195417,31,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,17.03
20260403_195417,32,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,134.33
