participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_183213,1,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,9512.94
20260403_183213,2,main,0,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,35159.04
20260403_183213,3,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,8566.69
20260403_183213,4,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,19787.16
20260403_183213,5,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,58802.31
20260403_183213,6,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,21646.08
20260403_183213,7,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,13121.4
20260403_183213,8,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,18139.82
20260403_183213,9,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,12368.59
20260403_183213,10,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,25683.27
20260403_183213,11,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,10560.94
20260403_183213,12,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,8234.25
20260403_183213,13,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,55085.74
20260403_183213,14,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,25576.36
20260403_183213,15,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,48938.67
20260403_183213,16,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,26888.03
20260403_183213,17,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,25099.74
20260403_183213,18,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,11350.24
20260403_183213,19,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,28482.73
20260403_183213,20,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,8541.28
20260403_183213,21,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,9879.37
20260403_183213,22,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,19181.17
20260403_183213,23,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,13373.52
20260403_183213,24,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,21198.86
20260403_183213,25,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,35232.81
20260403_183213,26,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,6062.67
20260403_183213,27,main,90,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,13631.98
20260403_183213,28,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,5563.27
20260403_183213,29,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,9449.81
20260403_183213,30,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,33197.2
20260403_183213,31,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,10092.99
20260403_183213,32,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,7122.3
