participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_194015,1,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,96.87
20260403_194015,2,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,83.56
20260403_194015,3,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,66.35
20260403_194015,4,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,164.91
20260403_194015,5,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,15.92
20260403_194015,6,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,32.84
20260403_194015,7,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,163.67
20260403_194015,8,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,10461.16
20260403_194015,9,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,600.3
20260403_194015,10,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,130.6
20260403_194015,11,main,180,same,8cube_B,8cube_B,8cube_B,different,same,0,32.12
20260403_194015,12,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,185.45
20260403_194015,13,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,168.46
20260403_194015,14,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,50.5
20260403_194015,15,main,0,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,116.94
20260403_194015,16,main,0,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,32.45
20260403_194015,17,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,148.1
20260403_194015,18,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,115.0
20260403_194015,19,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,7027.46
20260403_194015,20,main,180,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,4503.93
20260403_194015,21,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2650.6
20260403_194015,22,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1278.27
20260403_194015,23,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,4039.1
20260403_194015,24,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,2178.16
20260403_194015,25,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,81.78
20260403_194015,26,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,165.1
20260403_194015,27,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,183.36
20260403_194015,28,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,different,same,0,32.16
20260403_194015,29,main,90,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,116.13
20260403_194015,30,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,16.33
20260403_194015,31,main,0,same,10cube_A,10cube_A,10cube_A,different,same,0,184.61
20260403_194015,32,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,81.87
