participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_192603,1,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1695.65
20260403_192603,2,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2635.05
20260403_192603,3,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1884.5
20260403_192603,4,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2472.44
20260403_192603,5,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1270.31
20260403_192603,6,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1144.86
20260403_192603,7,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,3565.31
20260403_192603,8,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,2244.24
20260403_192603,9,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,2076.9
20260403_192603,10,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3216.95
20260403_192603,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1983.13
20260403_192603,12,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,1805.63
20260403_192603,13,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2079.99
20260403_192603,14,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,2053.2
20260403_192603,15,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3817.67
20260403_192603,16,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1363.01
20260403_192603,17,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1627.69
20260403_192603,18,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1646.59
20260403_192603,19,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2977.93
20260403_192603,20,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,1525.34
20260403_192603,21,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1509.72
20260403_192603,22,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,965.83
20260403_192603,23,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1332.63
20260403_192603,24,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2127.3
20260403_192603,25,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,1105.06
20260403_192603,26,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2230.36
20260403_192603,27,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1573.52
20260403_192603,28,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,3262.9
20260403_192603,29,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1675.2
20260403_192603,30,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1899.34
20260403_192603,31,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,1664.84
20260403_192603,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1069.65
