participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_161910,1,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,3558.15
20260403_161910,2,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1842.29
20260403_161910,3,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3282.25
20260403_161910,4,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2627.02
20260403_161910,5,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1693.88
20260403_161910,6,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,1497.35
20260403_161910,7,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1957.16
20260403_161910,8,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,977.9
20260403_161910,9,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1432.62
20260403_161910,10,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2203.36
20260403_161910,11,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2884.51
20260403_161910,12,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1060.69
20260403_161910,13,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,3102.01
20260403_161910,14,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1704.18
20260403_161910,15,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,3102.39
20260403_161910,16,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,1516.08
20260403_161910,17,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,1149.51
20260403_161910,18,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,2088.68
20260403_161910,19,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,9123.36
20260403_161910,20,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2004.51
20260403_161910,21,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,5130.26
20260403_161910,22,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,973.91
20260403_161910,23,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,816.87
20260403_161910,24,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,1626.72
20260403_161910,25,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,1924.71
20260403_161910,26,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1382.76
20260403_161910,27,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,1726.67
20260403_161910,28,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2333.24
20260403_161910,29,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,2943.23
20260403_161910,30,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1558.56
20260403_161910,31,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1655.64
20260403_161910,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3302.57
