participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_194328,1,main,180,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,49.87
20260403_194328,2,main,270,different,10cube_A,10cube_A_mirror,10cube_A,same,different,0,83.57
20260403_194328,3,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,181.43
20260403_194328,4,main,270,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,98.12
20260403_194328,5,main,90,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,176.46
20260403_194328,6,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,32.5
20260403_194328,7,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3355.4
20260403_194328,8,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,178.18
20260403_194328,9,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,214.43
20260403_194328,10,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,97.56
20260403_194328,11,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,15.93
20260403_194328,12,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,114.31
20260403_194328,13,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,17.41
20260403_194328,14,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,201.3
20260403_194328,15,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,84.26
20260403_194328,16,main,180,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,165.41
20260403_194328,17,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,164.5
20260403_194328,18,main,0,same,10cube_A,10cube_A,10cube_A,different,same,0,166.28
20260403_194328,19,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,67.06
20260403_194328,20,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,different,same,0,99.97
20260403_194328,21,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,31.61
20260403_194328,22,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,134.99
20260403_194328,23,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,16.77
20260403_194328,24,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,16.04
20260403_194328,25,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,202.44
20260403_194328,26,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,133.75
20260403_194328,27,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,149.8
20260403_194328,28,main,90,same,8cube_B,8cube_B,8cube_B,different,same,0,98.04
20260403_194328,29,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,117.84
20260403_194328,30,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,82.75
20260403_194328,31,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,489.55
20260403_194328,32,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,185.8
