participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_184943,1,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,same,different,0,6279.49
20260403_184943,2,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,8510.5
20260403_184943,3,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,4845.58
20260403_184943,4,main,270,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,26993.95
20260403_184943,5,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2437.71
20260403_184943,6,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,28151.73
20260403_184943,7,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,31077.95
20260403_184943,8,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,8304.09
20260403_184943,9,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2911.72
20260403_184943,10,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,13448.31
20260403_184943,11,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,11629.18
20260403_184943,12,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2289.67
20260403_184943,13,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,17741.48
20260403_184943,14,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,4793.87
20260403_184943,15,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1699.71
20260403_184943,16,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,2199.77
20260403_184943,17,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,962.09
20260403_184943,18,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3986.91
20260403_184943,19,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,6753.96
20260403_184943,20,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,3526.82
20260403_184943,21,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,3566.84
20260403_184943,22,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,3825.34
20260403_184943,23,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2157.2
20260403_184943,24,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,849.92
20260403_184943,25,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,845.48
20260403_184943,26,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,6948.36
20260403_184943,27,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,7618.89
20260403_184943,28,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2298.61
20260403_184943,29,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,18477.79
20260403_184943,30,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2706.0
20260403_184943,31,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,4269.16
20260403_184943,32,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,3016.64
